Episode,PPO Reward
0,-0.20247197
1,0.4931761
2,-0.0902895
3,0.0026996136
4,0.7208147
5,0.009660363
6,0.24374843
7,0.25590324
8,-0.21012697
9,-0.28539687
10,0.5177425
11,1.1710693
12,-0.018338323
13,0.33653754
14,1.5920682
15,0.14691836
16,-0.032794952
17,0.38719267
18,0.63013506
19,-0.23946235
20,-0.074088365
21,0.25532925
22,0.14347202
23,-0.33775085
24,1.1350839
25,-0.42364502
26,0.0032880306
27,-0.16615677
28,-0.1110397
29,-0.20122093
30,1.3003043
31,0.7416905
32,-0.011334121
33,-0.16647786
34,0.43579024
35,0.6318561
36,-0.15650034
37,0.44015592
38,-0.19388294
39,0.056787312
40,0.021673083
41,2.6658256
42,-0.17844573
43,1.1123692
44,-0.28144634
45,-0.18033761
46,0.36202502
47,0.17280436
48,1.997865
49,-0.15021506
50,0.00028800964
51,-0.5
52,-0.16742992
53,-0.21359539
54,0.31956005
55,0.04321283
56,0.8352338
57,0.36540133
58,2.3063996
59,-0.093678534
60,0.33900422
61,0.9888536
62,0.124655545
63,0.41406238
64,1.7334657
65,-0.2326065
66,-0.5
67,1.0959144
68,-0.19787389
69,0.41121727
70,-0.20294213
71,-0.24384102
72,-0.24104252
73,1.1985818
74,1.1777565
75,1.9155486
76,0.38457924
77,0.036099672
78,-0.5
79,-0.115472734
80,-0.30590087
81,-0.15986022
82,1.1660129
83,0.6586547
84,1.6492617
85,-0.33287603
86,1.3289983
87,0.7928536
88,0.54627836
89,-0.1865136
90,0.39837664
91,0.37813902
92,0.384485
93,0.4124149
94,-0.13204283
95,0.041647613
96,0.66064
97,0.2931217
98,-0.5
99,0.8737831
100,0.9389216
101,-0.02806586
102,-0.13667107
103,0.0344702
104,-0.21244833
105,0.07197249
106,0.47083628
107,-0.054819107
108,0.17479599
109,0.8858496
110,-0.21375138
111,1.389797
112,0.33072662
113,0.14388275
114,0.3994351
115,-0.10690817
116,1.1101382
117,-0.5
118,-0.2970601
119,0.9764006
120,0.59183276
121,1.3567245
122,-0.08890712
123,0.42859912
124,0.39693666
125,1.1281487
126,-0.34367886
127,1.3147063
128,-0.5
129,-0.5
130,0.06974137
131,0.009277403
132,-0.25850034
133,-0.5
134,-0.5
135,0.7829238
136,0.02491808
137,-0.5
138,0.109835625
139,0.27597457
140,-0.055747867
141,-0.5
142,0.1421988
143,-0.40534696
144,0.19210672
145,-0.18638
146,-0.23651361
147,0.19798839
148,0.33406937
149,0.4020306
150,-0.20980701
151,-0.5
152,-0.2724298
153,-0.3316907
154,-0.21186447
155,0.34918284
156,0.48248982
157,-0.17286882
158,1.1467266
159,0.82283676
160,-0.5
161,-0.18804091
162,-0.5
163,-0.08844939
164,-0.07439926
165,-0.5
166,0.6111988
167,-0.17023134
168,0.06357467
169,0.55463624
170,-0.14847508
171,-0.016552508
172,0.102139354
173,0.2716899
174,-0.22075123
175,1.3921492
176,0.13787282
177,-0.16039291
178,-0.19080123
179,-0.040953875
180,-0.06411743
181,-0.5
182,0.136845
183,-0.5
184,-0.33520836
185,-0.2425937
186,0.65552866
187,-0.5
188,0.5175767
189,0.669219
190,-0.18670598
191,1.3055487
192,0.15390277
193,-0.5
194,0.03521335
195,0.32935947
196,-0.06511569
197,0.023486614
198,0.6074946
199,0.8560277
200,-0.25181255
201,-0.5
202,0.6967349
203,0.6258037
204,0.99585927
205,-0.36601275
206,0.6133146
207,0.01088655
208,-0.41817856
209,0.8318386
210,-0.09871435
211,0.2370764
212,0.080518365
213,-0.15134144
214,-0.5
215,-0.26883873
216,-0.1700081
217,-0.26837623
218,-0.5
219,0.14193851
220,0.8865403
221,-0.5
222,-0.5
223,1.5670989
224,0.009573817
225,0.11834216
