Episode,PPO Reward
0,0.9511969
1,2.3801224
2,-0.5
3,0.037902713
4,-0.006659776
5,-0.5
6,-0.19243604
7,-0.17946187
8,-0.07884121
9,0.01235795
10,-0.5
11,0.32362264
12,-0.27387762
13,-0.5
14,0.07589424
15,3.0472467
16,-0.15687647
17,-0.5
18,0.15281963
19,-0.5
20,-0.5
21,0.11553419
22,0.7026299
23,-0.16398197
24,0.15106809
25,0.32219207
26,-0.35054073
27,0.03594756
28,0.06597102
29,0.375184
30,-0.03172663
31,-0.5
32,0.506003
33,0.19991785
34,-0.18357974
35,-0.5
36,0.3311258
37,1.0800667
38,0.29363155
39,-0.21487755
40,0.5328671
41,0.0017209649
42,0.101315916
43,-0.26950234
44,0.58389676
45,0.0039225817
46,0.4080794
47,2.2952375
48,1.5922468
49,-0.23156539
50,-0.5
51,0.9349284
52,1.1232533
53,0.15282607
54,0.50525284
55,-0.016747564
56,-0.030690342
57,-0.19041795
58,-0.5
59,0.059783578
60,0.20748287
61,-0.5
62,0.74940336
63,0.4939685
64,0.057433605
65,1.1017272
66,-0.40454912
67,0.11113995
68,0.2968083
69,0.6626866
70,-0.16904679
71,-0.10942745
72,-0.22777325
73,0.30603492
74,0.27750093
75,1.3887498
76,-0.15938997
77,0.9137906
78,0.3044561
79,-0.15541571
80,0.36714792
81,0.2444222
82,-0.13837165
83,0.73432946
84,0.88976
85,-0.3463891
86,-0.5
87,1.8392026
88,0.27305984
89,0.5008131
90,0.116089344
91,-0.27214378
92,0.36501187
93,1.9478018
94,-0.1987752
95,0.9741255
96,1.2753183
97,0.4589553
98,-0.15728131
99,-0.5
100,-0.085181326
101,-0.5
102,0.15774441
103,-0.20879537
104,-0.19712105
105,0.059033513
106,-0.5
107,0.6440147
108,1.1090591
109,0.13783127
110,-0.5
111,2.1656334
112,-0.23039913
113,0.7695621
114,0.9401773
115,-0.06755561
116,-0.17441425
117,-0.35326558
118,4.7242184
119,0.3274579
120,0.934409
121,0.8015926
122,0.05316782
123,-0.16462937
124,-0.5
125,0.83409095
126,0.96910584
127,-0.24201435
128,2.760142
129,-0.15639609
130,0.09014225
131,-0.24513802
132,-0.25950128
133,0.10079366
134,0.3777833
135,0.014714479
136,0.8702421
137,-0.14220506
138,0.01967001
139,0.8324245
140,1.5936446
141,-0.17860469
142,0.5864432
143,-0.36673293
144,-0.22904319
145,-0.56850123
146,1.0963147
147,0.5052699
148,1.9201329
149,0.121076286
150,0.9033501
151,-0.5
152,0.2793669
153,0.024665713
154,0.19842112
155,-0.11549118
156,0.15325993
157,0.858119
158,0.16094798
159,-0.1808385
160,1.6198092
161,-0.5
162,0.66208684
163,0.8225157
164,0.24432343
165,0.48265445
166,-0.5
167,0.5469209
168,0.37370968
169,0.046024084
170,0.6248772
171,0.3910669
172,0.08856958
173,0.0061069727
174,0.24467039
175,0.03847289
176,0.47750378
177,-0.5
178,-0.5
179,0.031246185
180,-0.06571466
181,-0.5
182,0.34920257
183,0.3685546
184,-0.018591583
185,1.3282595
186,0.24982321
187,0.69139063
188,-0.20165128
189,-0.5
190,0.68502843
191,1.5617089
192,1.3513981
193,-0.2516923
194,0.17517734
195,0.6042495
196,1.7391014
197,0.14202523
198,0.08777487
199,-0.5
200,-0.020504951
201,1.2915518
202,-0.36598426
203,-0.17461902
204,0.72767997
205,0.33650178
206,0.3376252
207,-0.18135136
208,0.7450379
209,2.6546607
210,0.16776735
211,1.2663283
212,0.41828358
213,0.870142
214,0.093743265
215,0.74138474
216,0.13174176
217,1.082616
218,-0.2256071
219,0.12840033
220,-0.5
221,0.9738071
222,-0.040905863
223,-0.23555213
224,-0.061597496
225,0.5169966
226,-0.34559196
227,-0.15496385
228,0.7049304
229,0.19484693
230,0.10001671
231,0.5168822
232,1.3459505
233,0.8778968
234,-0.5388068
235,0.07226765
236,-0.21213245
237,-0.2668205
238,0.1830368
239,0.15161997
240,0.18796563
241,-0.5
242,-0.24117884
243,0.43457645
244,-0.1710043
245,0.64971566
246,0.15164769
247,-0.018606663
248,-0.012864739
249,0.80047107
250,-0.34556755
251,-0.031973273
252,0.38372934
253,0.20725012
254,0.5693002
255,0.7762214
256,0.160415
257,-0.5
258,-0.023263693
259,3.0928836
260,0.5290879
261,-0.5
262,-0.5
263,1.9896853
264,2.0135765
265,0.026004672
266,0.5809604
267,0.14084643
268,0.13958126
269,0.4342032
270,0.034505606
271,-0.052000523
272,0.32011282
273,-0.5
274,0.039689124
275,-0.23519897
276,0.1018672
277,-0.2729937
278,0.058632374
279,0.949252
280,0.44300896
281,-0.5
282,0.00029474497
283,1.3201079
284,-0.23556095
285,0.7330005
286,1.7566195
287,1.2581875
288,1.3312138
289,-0.16456175
290,0.209221
291,0.117962
292,0.22895145
293,0.6316166
294,1.4483652
295,-0.5
296,-0.10799509
297,0.20071995
298,-0.5
299,0.3684485
300,-0.16840228
301,-0.5
302,0.17808461
303,1.8715291
304,-0.25547504
305,0.011634052
306,-0.053130567
307,0.41077614
308,0.60204744
309,0.835804
310,0.34385824
311,-0.5
312,-0.5
313,1.3009365
314,0.048281252
315,0.3742392
316,1.121903
317,-0.34794265
318,0.39438003
319,-0.2613736
320,0.028558195
321,0.8646815
322,0.59812045
323,0.40081888
324,-0.12995777
325,-0.5
326,1.0050489
327,-0.22439623
328,0.116964936
329,-0.5
330,1.3553941
331,-0.14018312
332,0.8676412
333,-0.3592472
334,0.4259761
335,-0.22204933
336,0.9810773
337,0.35917747
338,0.6044495
339,-0.5
340,0.0273633
341,-0.5
342,0.38441658
343,-0.16478053
344,1.2106373
345,-0.19390804
346,0.3036042
347,-0.035190046
348,-0.21457085
349,0.040268004
350,1.8007934
351,0.54240084
352,0.8418977
353,0.4440413
354,1.8219397
355,0.10874224
356,0.59011555
357,-0.17115545
358,0.74923086
359,1.2854145
360,-0.5
361,0.4477327
362,0.6135745
363,0.38960832
364,-0.18187839
365,0.01644218
366,0.35630023
367,-0.5
368,-0.5
369,0.50359344
370,0.5918243
371,-0.15490532
372,0.083663285
373,0.4262119
374,0.43410695
375,0.08574939
376,-0.16367292
377,1.132751
378,-0.5
379,0.70929193
380,0.893435
381,0.021946073
382,0.42111242
383,1.0406537
384,-0.22772408
385,-0.34276748
386,0.39578325
387,0.27226102
388,-0.5
389,0.114079356
390,0.16651994
391,-0.2089898
392,0.41864944
393,0.5738809
394,-0.5
395,0.7155415
396,2.548166
397,0.7957901
398,0.09443116
399,-0.1938324
400,-0.106162965
401,-0.010114908
402,-0.5
403,0.2692864
404,-0.5
405,1.0805604
406,-0.5
407,1.233785
408,0.02739203
409,-0.076482
410,0.44354284
411,1.4891543
412,-0.34032875
413,-0.1578764
414,0.49731648
415,0.19529033
416,-0.10264674
417,0.24655747
418,1.6788902
419,-0.153207
420,0.6971395
421,1.3496063
422,-0.1655913
423,-0.5
424,0.33678478
425,0.29316604
426,-0.13528538
427,0.09078634
428,0.27636528
429,0.021613836
430,-0.0642426
431,-0.27684826
432,-0.5
433,-0.5
434,0.12223983
435,0.20366663
436,0.46091437
437,-0.28836885
438,-0.30031443
439,0.96121323
440,-0.02224189
441,-0.5
442,-0.08664125
443,0.5604994
444,-0.5
445,0.30046237
446,0.38500345
447,0.2364428
448,-0.5
449,0.0683189
450,-0.2683652
451,0.0440377
452,-0.15546972
453,1.3547977
454,0.38045585
455,-0.18362913
456,0.56846404
457,1.6563722
458,-0.19855967
459,0.54100704
460,0.7112372
461,0.46303403
462,2.2187607
463,0.10642928
464,0.03171873
465,0.51831305
466,0.40204608
467,-0.040531814
468,0.27766502
469,0.36678296
470,0.17217958
471,0.20451558
472,-0.19682914
473,0.5391865
474,0.28269547
475,0.6971415
476,0.18311477
477,-0.3671759
478,0.20001054
479,-0.5
480,-0.26620483
481,0.10872519
482,0.65879655
483,0.44805688
484,0.22165602
485,0.07978499
486,0.09095681
487,-0.34542662
488,1.1069145
489,0.20555925
490,0.4491244
491,1.1794394
492,-0.5
493,0.68656695
494,-0.05023426
495,-0.27544665
496,-0.24774742
497,-0.13956556
498,2.2095106
499,-0.017380595
500,-0.25063577
501,-0.23219499
502,0.06652874
503,0.9199858
504,0.56096816
505,0.9005132
506,0.5509486
507,0.98099947
508,0.19785571
509,0.45595807
510,-0.19617519
511,0.684404
512,0.47769588
513,0.05533719
514,0.1571939
515,-0.1272254
516,0.15024793
517,1.4061894
518,-0.051363826
519,0.26620317
520,0.02607888
521,0.4209429
522,0.50042605
523,1.276783
524,-0.10552263
525,1.3749968
526,0.16876948
527,0.44579953
528,-0.18961105
529,0.059568644
530,0.252181
531,1.2154497
532,-0.18524963
533,0.44434375
534,1.0748392
535,0.19725257
536,0.18314898
537,0.02229625
538,1.1223143
539,-0.0024272501
540,0.15273511
541,2.169853
542,-0.09423369
