Episode,A2C Reward
0,0.108231306
1,-0.5
2,0.2563256
3,0.34361917
4,-0.5
5,-0.5
6,-0.272686
7,-0.28734908
8,-0.5
9,0.24804872
10,0.26179755
11,-0.5
12,-0.05422941
13,0.124519706
14,0.8534527
15,2.9876509
16,-0.33240366
17,0.47742385
18,-0.16215926
19,-0.20331365
20,0.62537
21,1.8291262
22,0.06405759
23,0.46628153
24,0.3650794
25,-0.18996048
26,0.15309978
27,-0.26246816
28,-0.3673525
29,0.61172056
30,-0.5
31,-0.18034258
32,0.8599504
33,0.56041706
34,-0.36629835
35,-0.033127308
36,-0.100262046
37,0.07430494
38,1.078891
39,-0.0076173246
40,-0.5
41,-0.5
42,0.2087375
43,0.60063934
44,-0.31567526
45,-0.5
46,0.5412673
47,3.338495
48,2.9722447
49,3.2140462
50,1.346118
51,0.0009019375
52,-0.25434947
53,1.3164334
54,0.36633158
55,0.4236945
56,1.3777456
57,-0.36797398
58,0.7296692
59,-0.005646229
60,0.25875342
61,3.1607404
62,-0.20874268
63,0.76382315
64,1.4139606
65,0.98172045
66,0.35334992
67,0.01586032
68,-0.2829566
69,0.39694405
70,0.048730135
71,-0.5
72,0.13936985
73,-0.18713063
74,0.068418086
75,0.40062833
76,-0.5
77,0.46946436
78,-0.10500765
79,1.7048589
80,0.19510567
81,-0.5
82,1.0951029
83,-0.05168608
84,0.44565296
85,-0.5
86,-0.5
87,1.3129112
88,0.82926285
89,0.1744231
90,-0.5
91,0.4207934
92,-0.5
93,-0.016604245
94,-0.57283103
95,0.1578396
96,0.81760335
97,2.5675194
98,-0.14906588
99,0.014521539
100,0.34186608
101,-0.08794308
102,0.8512676
103,0.14913213
104,-0.09012714
105,-0.14960718
106,-0.5
107,0.65000355
108,0.5125885
109,-0.08358061
110,0.21233904
111,-0.5
112,0.71287036
113,-0.19179928
114,1.2387207
115,1.4547592
116,1.1915371
117,0.02197355
118,-0.5
119,0.17649066
120,0.8484831
121,-0.18505841
122,0.38649762
123,0.8399341
