Episode,A2C Reward
0,-0.15381736
1,0.5551475
2,-0.5
3,-0.11519021
4,-0.54544127
5,0.25013494
6,-0.23405206
7,-0.5
8,-0.028771877
9,3.8722768
10,-0.5
11,0.38356447
12,-0.18306074
13,0.6456908
14,-0.15723628
15,0.010326505
16,0.10079527
17,-0.5
18,-0.5
19,0.50505567
20,-0.24942112
21,-0.36208218
22,-0.17898092
23,0.07955247
24,-0.5
25,-0.5
26,2.094328
27,-0.5
28,0.014722943
29,-0.25140634
30,-0.03668356
31,0.117972136
32,0.14233136
33,-0.15660849
34,-0.03324014
35,2.0765207
36,0.47865677
37,0.81046337
38,0.7359247
39,-0.5
40,-0.19526443
41,-0.34199557
42,0.7416134
43,0.43909848
44,-0.16018367
45,1.9293418
46,-0.5
47,0.10807574
48,0.069472015
49,0.43350542
50,-0.26649958
51,1.8342336
52,0.64119697
53,0.24853456
54,-0.5
55,0.32353115
56,-0.5
57,0.17837465
58,0.21762425
59,-0.24065852
60,0.347911
61,0.3432706
62,0.06998402
63,0.26271188
64,0.007869363
65,-0.5
66,-0.032517016
67,-0.19219542
68,0.8975382
69,-0.16010323
70,0.487764
71,0.55654895
72,0.3185687
73,0.3446926
74,0.1847614
75,-0.15847081
76,0.87456775
77,-0.09025121
78,0.09512496
79,-0.5
80,0.2484318
81,0.4222011
82,0.22260869
83,0.19907367
84,-0.23950696
85,0.4329862
86,1.4768243
87,0.15960896
88,0.25716144
89,0.9323238
90,0.12705958
91,-0.1956397
92,0.3584782
93,0.19681698
94,0.10804117
95,1.163759
96,0.025472343
97,0.08007991
98,0.5483583
99,-0.20968047
100,1.0624015
101,-0.1820651
102,0.92349946
103,0.15836883
104,-0.38635167
105,-0.20097789
106,-0.5
107,0.7517947
108,0.7176317
109,-0.5
110,-0.31691653
111,-0.5
112,0.2977965
113,-0.051483274
114,0.85497904
115,0.5611923
116,-0.3940507
117,-0.20328003
118,-0.22653627
119,-0.5
120,0.28584135
121,-0.5
122,0.49686337
123,-0.2569158
124,-0.067831576
125,1.342133
126,1.2409924
127,2.180076
128,0.10540438
129,1.9832017
130,0.8919581
131,0.4564882
132,0.58782446
133,0.6026459
134,0.013202727
135,0.18777442
136,-0.1968813
137,0.14498162
138,0.6962129
139,0.38771248
140,-0.5
141,0.63430583
142,0.37816393
143,0.13825959
144,-0.16376686
145,-0.5
146,0.7857039
147,0.9003476
148,0.14009356
149,0.9152062
