Agent,Mean Return,Return Std Dev,Mean Length,Length Std Dev
Random,0.1835555212572217,0.45424451790038123,3.7,1.8466185312619388
PPO,62.252796441316605,43.72097062924223,176.3,117.15208064733636
A2C,214.90528456568717,68.5539610587338,579.4,192.42411491286637
