Episode,PPO Reward
0,-0.5
1,-0.16379938
2,-0.5258609
3,0.4445685
4,-0.19206208
5,-0.31715584
6,0.3412519
7,-0.008908927
8,-0.1755786
9,-0.5
10,-0.04293102
11,-0.15864372
12,-0.20448941
13,1.0357916
14,0.07893586
15,0.9854715
16,0.8408294
17,0.22876298
18,-0.24251199
19,0.353517
20,-0.14592737
21,-0.5
22,1.7530717
23,0.0073205233
24,2.6752129
25,0.05319929
26,0.32807696
27,1.5248144
28,0.5782356
29,0.5973768
30,0.67451787
31,-0.047284335
32,-0.17832547
33,0.2603737
34,0.4759271
35,0.15785336
36,0.51652944
37,1.1159734
38,0.12820333
39,0.7768445
40,0.6412883
41,-0.5
42,-0.057858795
43,-0.19310313
44,-0.21685234
45,-0.16412419
46,-0.09024525
47,-0.2106421
48,-0.5
49,-0.5
50,1.0026202
51,0.5931815
52,-0.17381716
53,-0.5
54,-0.18499726
55,-0.5
56,-0.17435378
57,0.43887872
58,1.457736
59,0.6565156
60,-0.1599864
61,1.3467182
62,-0.5
63,-0.35082316
64,-0.5
65,0.4365642
66,0.8701488
67,-0.5
68,0.34047455
69,-0.15462953
70,0.3202238
71,-0.33794612
72,0.82617486
73,-0.5
74,-0.5
75,-0.17372626
76,-0.1963889
77,-0.5
78,-0.21532407
79,-0.5
80,-0.5
81,0.3382498
82,0.15433848
83,0.46453524
84,0.48152018
85,0.23252088
86,-0.30485106
87,-0.5
88,0.059543014
89,0.1055001
90,-0.23983422
91,0.6388035
92,0.90029347
93,-0.11839819
94,-0.5
95,0.37455034
96,-0.17326507
97,0.08708024
98,0.16352957
99,0.49505472
100,-0.5
101,0.5594859
102,0.22356957
103,-0.2810751
104,1.1240499
105,-0.17663631
106,-0.5
107,0.03227651
108,0.8269272
109,-0.17812365
110,0.053596675
111,0.29315162
112,-0.010380417
113,-0.5
114,-0.013225436
115,-0.2084691
116,0.7020663
117,0.52410114
118,-0.1424366
119,-0.2295917
120,-0.13292608
121,1.0714537
122,0.44005853
123,0.09768891
124,2.481613
125,-0.5
126,-0.22491145
127,0.6318445
128,1.4312232
129,0.31569785
130,-0.5
131,-0.16724044
132,0.77287304
133,-0.5
134,0.26679277
135,-0.5
136,1.4698647
137,-0.1291787
138,0.6935494
139,1.3783956
140,0.43980098
141,0.15186578
142,0.21227628
143,0.040230393
144,-0.3913808
145,0.2894981
146,-0.10711843
147,-0.24921256
148,0.60901415
149,-0.5
150,0.7792256
151,0.62009466
152,1.1067233
153,-0.24723846
154,-0.03083682
155,0.18166399
156,-0.41926828
157,0.6394999
158,0.009394467
159,0.18055218
160,0.24516183
161,-0.20202607
162,1.5190926
163,-0.5
164,0.03792566
165,0.21538311
166,0.09008682
167,0.8582933
168,0.20927495
169,0.038764477
170,-0.5
171,0.39077818
172,-0.16578817
173,-0.20797557
174,-0.43413725
175,0.43673694
176,0.22855562
177,-0.5
178,0.42463708
179,-0.23420033
180,0.79542243
181,-0.5
182,-0.08631134
183,0.16489565
184,-0.5
185,0.11673361
186,0.89503825
187,-0.17537278
188,0.35139358
189,-0.5
190,1.8857477
191,-0.18800607
192,0.5782329
193,-0.23280817
194,0.06920159
195,0.52871597
196,-0.5
197,0.5601548
198,-0.3920098
199,0.5191783
200,0.089785874
201,0.51123154
202,0.97985363
203,2.016323
204,-0.3370847
205,-0.5
206,-0.07052627
207,-0.15154052
208,-0.5
209,0.8749676
210,-0.5
211,-0.1830717
212,0.3902142
213,0.39960116
214,-0.21713161
215,-0.17801514
216,-0.12753233
217,-0.28270358
218,-0.5
219,-0.06409323
220,0.33682483
221,1.8367718
