Episode,A2C Reward
0,-0.2603043
1,0.5799136
2,-0.5
3,-0.24127373
4,0.7079067
5,-0.5
6,-0.22015095
7,1.2880298
8,-0.5
9,-0.24426427
10,1.2741683
11,1.3815706
12,0.74161613
13,-0.32080668
14,0.45998287
15,0.51727474
16,0.07198048
17,0.70883584
18,-0.5
19,0.0009937286
20,0.15141326
21,-0.4013164
22,0.45430946
23,-0.5
24,-0.020470351
25,-0.26951876
26,-0.23951006
27,-0.23473239
28,0.06158614
29,-0.5
30,-0.15500936
31,-0.146941
32,0.042564273
33,-0.5
34,0.4884054
35,0.9693105
36,0.07728672
37,-0.008571714
38,-0.021413147
39,0.20549142
40,-0.26174545
41,-0.5
42,-0.117458165
43,0.9965322
44,0.16672754
45,0.09379554
46,-0.22230473
47,1.0421369
48,3.2596037
49,-0.14262334
50,0.5652956
51,-0.1862751
52,0.6316054
53,1.5792713
54,-0.21413589
55,0.9764955
56,-0.25007796
57,0.31554514
58,0.64990044
59,-0.027279079
60,0.89390874
61,-0.15675649
62,-0.5
63,0.47693068
64,-0.22698197
65,0.07043636
66,0.34082234
67,0.3654778
68,2.4719598
69,-0.18041211
70,0.15313828
71,0.6514721
72,0.25201452
73,0.094368815
74,-0.5
75,0.04658091
76,-0.005322337
77,0.16313696
78,-0.22436148
79,-0.19674367
80,0.48427397
81,0.7202312
82,-0.5
83,0.85856545
84,1.8723602
85,0.7777883
86,-0.5
87,4.03745
88,-0.5
89,0.10671097
90,0.9923825
91,-0.19122201
92,0.3902936
93,0.32984036
94,0.06463933
95,-0.1395033
96,1.6769519
97,2.3729649
98,0.3841014
99,0.12772512
100,0.061820388
101,-0.033093393
102,0.098480105
103,0.07643193
104,-0.23039946
105,-0.5
106,0.66509664
107,-0.2143654
108,-0.16939792
109,-0.5
110,-0.5
111,0.049133062
112,0.25851
113,0.4508162
114,0.49305618
115,0.14332467
116,-0.5
117,-0.5
118,-0.5
119,0.17567146
120,0.8421185
121,-0.5
122,2.0249581
123,0.35345793
124,1.2411199
125,1.6345946
126,0.87702787
127,-0.5
128,0.23733234
129,1.0833893
130,0.4025069
131,0.47683406
132,0.4935388
133,-0.29472858
134,0.59059453
135,-0.006222248
136,-0.3249604
137,1.9811556
138,-0.22025293
139,-0.5
140,0.07942712
141,-0.1518963
142,2.38059
143,0.5341401
144,1.2260164
145,0.7065567
146,1.5994543
147,0.46303558
148,1.1513063
149,0.11779106
150,-0.20365301
151,-0.17844886
152,-0.09266582
153,0.9620235
154,0.5341513
155,0.98455536
156,-0.16889477
157,1.1483297
158,2.773965
159,0.2872591
160,2.341753
161,-0.26657447
162,-0.5
163,0.9303739
164,-0.5
165,0.7644583
166,0.17783988
167,0.036672175
168,1.5433121
169,-0.5
170,0.55359364
171,0.59871745
172,0.2640884
173,0.8198905
174,-0.5
175,0.18792611
176,-0.051477432
177,-0.5
178,-0.2223095
179,1.788687
180,0.018325925
181,0.7976508
182,-0.102008104
183,0.62018347
184,1.361993
185,-0.057303905
186,-0.25273895
187,0.9557508
188,-0.20585364
189,1.1394287
190,0.4931122
191,0.2907114
192,-0.23846245
193,0.6384697
194,-0.5
195,-0.20588678
196,1.8178105
197,0.37892628
198,0.7919749
199,1.3509684
200,1.3913666
201,0.004303336
202,0.26327986
203,0.38403165
204,1.9568322
205,0.76681256
206,0.9136517
207,-0.5
208,0.82895005
209,0.05130434
210,1.243079
211,0.012314558
212,0.2567361
213,-0.5
214,-0.5
215,0.13210452
216,1.2992537
217,0.27162236
218,-0.5
219,-0.063922286
220,1.2625622
221,0.4190687
222,-0.18435773
223,0.24510151
224,0.61449647
225,0.119078875
226,2.8685257
227,0.047367692
228,0.07024431
229,-0.20331392
230,0.37030882
231,-0.5
232,1.5610814
233,-0.19450599
234,1.0591314
235,1.0811503
236,0.6932745
237,0.27892238
238,1.8315148
239,0.0066593885
240,0.7331563
241,-0.28210068
242,0.52696717
243,0.54517895
