Episode,PPO Reward
0,-0.32933155
1,0.88919425
2,-0.0015541315
3,-0.5
4,-0.2601204
5,0.2269237
6,-0.19242746
7,1.0591216
8,-0.5
9,-0.5
10,-0.039061636
11,0.17516041
12,0.7076993
13,-0.2693204
14,2.3807814
15,-0.048160434
16,0.6705737
17,0.15100253
18,-0.21984458
19,-0.2461443
20,-0.35677797
21,-0.24234113
22,1.314146
23,-0.18223494
24,0.14579344
25,-0.101570934
26,0.7966417
27,-0.36270428
28,0.3105278
29,0.17244995
30,0.67189217
31,0.07512069
32,-0.037271082
33,0.15729094
34,-0.20501876
35,0.35325366
36,0.08794397
37,-0.5
38,-0.08367169
39,-0.5
40,0.4009301
41,0.7342596
42,-0.20572942
43,-0.2660036
44,-0.22074261
45,-0.18456239
46,-0.3365683
47,-0.169983
48,0.2307083
49,0.23597127
50,0.4880311
51,1.4834094
52,-0.1669159
53,0.492257
54,-0.27247468
55,0.3678913
56,0.93536794
57,-0.13252005
58,0.3707189
59,-0.266366
60,-0.16071445
61,-0.08953643
62,0.26809716
63,0.15332806
64,0.89309597
65,0.15846151
66,-0.20292458
67,0.32522053
68,-0.15697175
69,1.4195995
70,1.372649
71,0.095715165
72,-0.5
73,0.21415591
74,3.9253917
75,1.1864159
76,0.88477826
77,0.18639612
78,-0.3984937
79,0.17197526
80,-0.5
81,-0.15338716
82,1.9958544
83,0.54029
84,1.2224609
85,-0.5
86,-0.5
87,-0.28569785
88,0.15805328
89,-0.015026867
90,-0.35308307
91,-0.5
92,0.560717
93,-0.16351634
94,-0.1661213
95,-0.18709487
96,1.5554329
97,0.3232618
98,1.3814125
99,-0.17813092
100,-0.17612705
101,-0.5
102,0.14232564
103,-0.5
104,0.5706115
105,-0.07957661
106,-0.31879386
107,-0.27262795
108,-0.5
109,0.4157678
110,-0.32150397
111,-0.5366615
112,0.06031871
113,-0.5
114,-0.17978725
115,-0.5
116,-0.20808142
117,-0.4012751
118,0.18548101
119,1.632621
120,-0.22370052
121,0.5160408
122,0.7534101
123,-0.19404316
124,-0.22911948
125,0.01995325
126,0.15581465
127,0.65769935
128,-0.18127966
129,0.3718717
130,0.055345416
131,-0.18715468
132,0.30614495
133,-0.5
134,0.41154742
135,-0.17834902
136,-0.5
137,1.5778663
138,0.033317327
139,-0.009696424
140,-0.5
141,0.66898
142,1.0040393
143,-0.44120008
144,-0.19953346
145,-0.025504649
146,0.065609515
147,-0.2370668
148,0.17087537
149,-0.036886096
150,-0.10801715
151,-0.029794335
152,-0.17978439
153,-0.1506153
154,1.5321002
155,0.14081323
156,0.8438257
157,0.17908454
158,0.4664086
159,3.06312
160,-0.19100618
161,-0.2065064
162,0.9777843
163,0.5858915
164,-0.5
165,-0.5
166,1.2018087
167,0.16770244
168,-0.024651706
169,-0.5
170,0.13434535
171,0.6730095
172,0.02480781
173,-0.5
174,-0.19736138
175,-0.17327899
176,-0.16189909
177,0.34945506
178,0.019646645
179,0.20532018
180,-0.024004877
181,0.53118277
