Agent,Mean Return,Return Std Dev,Mean Length,Length Std Dev
Random,0.0488647673279047,0.2859671640243775,3.4,1.5620499351813308
PPO,59.149904457479714,46.64200675797098,166.8,126.36201961032437
A2C,483.52174926698206,497.5988921991243,1430.7,1479.6444201226186
