Episode,PPO Reward
0,-0.1920802
1,0.9775455
2,-0.5
3,1.8844159
4,-0.021375358
5,0.54203916
6,0.111284375
7,-0.27558738
8,0.055155158
9,-0.5
10,0.04980576
11,-0.1931796
12,-0.18126899
13,0.7664411
14,0.8625529
15,-0.3537919
16,-0.2639895
17,1.3569815
18,-0.07935104
19,0.26396298
20,-0.5
21,-0.0688459
22,0.1146881
23,0.27747536
24,0.7683817
25,-0.27870464
26,-0.5
27,0.6108773
28,-0.38583216
29,0.011516809
30,-0.03726113
31,0.1877855
32,-0.15927982
33,-0.12080887
34,-0.5
35,-0.18999013
36,1.4312365
37,0.2632786
38,-0.5
39,-0.18757448
40,0.63936543
41,0.21530664
42,-0.5
43,-0.5
44,0.89970493
45,-0.5
46,-0.5
47,-0.5
48,0.1533575
49,0.49354988
50,0.24431533
51,0.62340224
52,0.9938402
53,1.1683942
54,0.89394677
55,-0.24632287
56,-0.37659708
57,-0.19125405
58,-0.5
59,1.2060397
60,-0.045662463
61,-0.5
62,-0.16284531
63,0.58854496
64,0.052565634
65,0.49885082
66,0.11388755
67,0.42092186
68,0.04795474
69,-0.25932646
70,0.648229
71,0.020248175
72,-0.5
73,1.4817668
74,-0.06419924
75,-0.5
76,-0.18499207
77,0.45500565
78,0.028085709
79,-0.5
80,-0.20652184
81,1.355121
82,0.028471112
83,0.434595
84,0.5992614
85,0.6494875
86,0.3964815
87,1.1960782
88,0.11433494
89,-0.2933146
90,2.1862547
91,1.2770633
92,-0.26229268
93,-0.17730513
94,0.85744834
95,0.5358958
96,1.9137516
97,0.31083906
98,1.0346872
99,-0.33240366
100,-0.5
101,1.0986736
102,-0.068877935
103,-0.24019471
104,-0.21091539
105,0.34963185
106,-0.04428643
107,0.46053904
108,0.11087608
109,0.0130108
110,-0.023212194
111,-0.14805436
112,-0.013700485
113,0.17908764
114,0.0066363215
115,0.20700169
116,-0.17441425
117,0.06833756
118,0.11551684
119,-0.046206772
120,0.05323744
121,0.26573807
122,0.072114825
123,0.81016946
124,1.2836426
125,0.96546054
126,-0.038352787
127,-0.5
128,0.3810823
129,0.6306579
130,-0.5
131,0.18656981
132,1.2610449
133,-0.0052348375
134,0.39838362
135,0.35553098
136,0.42550284
137,0.46774685
138,-0.26195282
139,-0.22308668
140,-0.3341926
141,0.25905102
142,0.42561018
143,-0.18030024
144,-0.26781154
145,-0.5
146,-0.12517413
147,0.20317239
148,0.17289078
149,1.2699599
150,-0.23801908
151,0.72927165
152,-0.5
153,-0.2118567
154,-0.5
155,0.5479591
156,0.6062288
157,-0.029938042
158,2.1269915
159,0.09070331
160,1.197279
161,0.038647294
162,0.038690567
163,0.81127214
164,-0.44130334
165,0.54087913
166,-0.17462578
167,0.070195794
168,0.009715319
169,-0.26876965
170,0.13048017
171,0.31379092
172,1.0035377
173,0.25510657
174,-0.31117645
175,-0.17150584
176,0.29184943
177,-0.23110718
178,2.0850544
