Episode,A2C Reward
0,0.40457714
1,-0.18236074
2,0.16320074
3,0.16118479
4,2.5872054
5,-0.27885932
6,-0.5206138
7,-0.5
8,0.34013367
9,0.53418815
10,0.2454812
11,-0.5
12,1.4527789
13,0.10257751
14,0.08545315
15,-0.25433868
16,0.55690384
17,0.30516243
18,0.768729
19,-0.2791704
20,-0.22660494
21,1.9882526
22,0.38460732
23,0.46394312
24,-0.5
25,-0.17871657
26,2.3247194
27,0.7807059
28,0.38146847
29,0.10507405
30,0.011595845
31,0.77417815
32,-0.26095048
33,-0.31276983
34,-0.5
35,0.64767706
36,0.48140502
37,0.24617839
38,0.76942647
39,0.14255881
40,-0.5
41,0.033977866
42,-0.5
43,0.8919432
44,0.37176192
45,-0.18559942
46,0.97193897
47,-0.25475344
48,-0.3793952
49,-0.17391008
50,-0.31074113
51,0.82786286
52,2.5443347
53,0.13725626
54,-0.16212168
55,-0.5
56,-0.16886014
57,-0.19686812
58,-0.250475
59,1.6167212
60,1.9764128
61,0.44408453
62,2.4030242
63,0.3025834
64,1.8574495
65,1.4358647
66,0.251001
67,0.14768499
68,0.13197362
69,0.5855398
70,-0.5
71,-0.030193627
72,1.4756236
73,1.0305574
74,0.088465214
75,2.1704638
76,-0.04500848
77,2.801468
78,1.5306306
79,1.3568404
80,4.21484
81,0.06408554
82,0.08890998
83,0.6107037
84,0.35974497
85,0.022797108
86,0.87506413
87,-0.5
88,0.08703792
89,-0.5
90,-0.16029724
91,1.6809053
92,0.044715405
93,0.010975301
94,0.13790226
95,0.3892318
96,-0.034607083
97,1.0291404
98,1.3421545
99,-0.016367197
100,0.18916214
101,0.58738184
102,1.372992
103,-0.5
104,0.08067453
105,-0.23208293
106,0.10525513
107,0.72506666
108,-0.5
109,0.04621935
110,0.2967323
111,-0.106509745
112,0.5392511
113,0.4435441
114,0.56745243
115,-0.5
116,-0.5
117,-0.18784541
118,-0.14677793
119,0.4433626
120,-0.10499662
121,0.3812002
122,-0.18193111
123,1.4797467
124,-0.5
125,2.6577694
126,0.74641395
127,-0.19907036
128,0.6958852
129,-0.16810149
130,0.09979272
131,0.5127773
132,0.88748944
133,3.148303
134,1.3310906
135,0.16018379
136,1.2147326
137,-0.088881135
138,0.9290972
139,0.19103837
140,3.7581856
141,0.12186086
142,-0.5
143,-0.08350712
144,0.7281234
145,0.76741195
146,2.0086718
147,0.41380346
148,1.8905823
149,1.1070857
150,0.72580373
151,0.06890571
152,0.6948066
153,7.742072
154,0.031208396
155,0.023946047
156,-0.07155874
157,0.16626644
158,0.4242109
159,-0.2329688
160,1.7386045
161,-0.17210978
162,0.3412187
163,0.07677269
164,0.11148459
165,0.5036645
166,-0.14680871
167,-0.033017695
168,0.39601505
169,1.5247526
170,0.9643401
171,-0.25832358
172,-0.21440393
173,-0.14699268
174,2.1409824
175,0.18351138
176,0.57342863
177,0.25639808
178,1.8144231
179,-0.20226645
180,-0.24448523
181,2.299192
182,1.2570566
183,1.1576664
184,0.07649428
185,0.46572018
186,0.003051579
187,0.11558771
188,-0.5
189,-0.30310178
190,0.81502986
191,0.18860334
192,0.26226443
193,0.04596913
194,0.49175894
195,-0.15855294
196,0.014275074
197,-0.5
198,-0.21864963
199,1.2905358
200,0.050820053
201,0.44020623
202,0.3945266
203,0.31745982
204,0.99200726
205,0.85763276
206,2.5652244
207,1.1279696
208,0.90115845
209,0.12695742
210,2.1125057
211,1.1011335
212,0.046137452
213,0.94798553
214,0.14546609
215,0.15746462
216,0.4115345
217,0.7746106
218,0.7138047
219,0.45359772
220,-0.14749107
221,0.6739472
222,0.5593829
223,3.4236171
224,1.0085461
225,0.7164564
226,0.79522157
227,1.2279273
228,0.12944603
229,0.060324192
230,-0.5
231,0.26375377
232,0.33024043
233,3.7383933
234,0.573686
235,0.13868451
236,2.8223941
237,0.097669065
238,0.14434516
239,2.0535262
240,-0.14870748
241,-0.5
242,0.14693946
243,1.1635903
244,-0.17217427
245,2.1850271
246,0.63259006
247,3.253781
248,-0.09345102
249,0.6792524
250,0.99287426
251,-0.5
252,1.1336346
253,0.07576501
254,-0.5
255,2.4951665
256,0.1218245
257,0.58222175
258,0.3860559
259,-0.039479256
260,0.027424276
261,1.2459409
262,1.6442872
263,1.7662063
264,0.99160904
265,0.09686136
266,0.75592744
267,1.4730085
268,1.8398216
269,1.952317
270,2.4231958
271,-0.15965948
272,1.3746426
273,0.16774988
274,0.9438958
275,1.2138007
276,0.46319097
277,0.2464562
278,-0.14129743
279,0.35033846
280,-0.17355737
281,1.3891824
282,0.2468018
283,0.08653641
284,-0.5
285,0.75281525
286,1.2438983
287,0.7369853
288,1.2540398
289,0.16117275
290,3.0641923
291,0.5137477
292,0.30855054
293,1.9501419
294,1.9238038
295,-0.06075588
296,0.6513494
297,1.6391795
298,3.6242971
299,-0.27091676
300,0.6940721
301,0.14830893
302,3.7536235
303,0.7943375
304,0.7210357
305,0.46252656
306,1.3156555
307,0.6249113
308,-0.1549843
309,3.2904177
310,-0.16764516
311,2.1452532
312,0.08108002
313,0.8974925
314,4.7323837
315,2.7496016
316,0.12139982
317,0.43316787
318,1.4579242
319,1.2764982
320,-0.2696291
321,0.17322111
322,1.0621867
323,0.8507297
324,0.78223896
325,0.015098572
326,0.6021075
327,0.5211892
328,2.8599198
329,-0.12263596
330,-0.057141304
331,1.2581197
332,2.576592
333,0.5294925
334,0.24612194
335,0.043001294
336,2.1436021
337,-0.1975295
338,0.084530115
339,0.3311504
340,1.080093
341,2.3911247
342,0.25539726
343,1.8900448
344,0.5003655
345,1.6287918
346,1.30297
347,0.36453986
348,3.6282454
349,0.32328695
350,-0.059381902
351,1.5359805
352,0.7170048
353,1.6601849
354,0.056035817
355,3.170951
356,0.6593243
357,1.2705121
358,0.2562294
359,0.09681165
360,0.7389878
361,1.5170144
362,-0.5
363,0.03525108
364,1.1358155
365,-0.17177773
366,0.4737935
367,-0.19004431
368,3.465939
369,1.3972256
370,0.11613214
371,1.1029711
372,1.5027529
373,-0.5
374,0.41103536
375,1.0607165
376,1.9390509
377,0.9385212
378,0.068012536
379,0.81881714
380,2.1670153
381,3.2650838
382,-0.5
383,0.3180058
384,1.1466725
385,5.982702
386,5.799947
387,0.124170184
388,-0.016296089
389,1.6310225
390,6.6720424
391,4.250432
392,0.34152365
393,0.80676794
394,-0.086666435
395,5.580537
396,1.7078454
397,0.027547479
398,1.9403245
399,1.648704
400,9.398065
401,0.7241745
402,5.7087603
403,6.8760457
404,1.8309809
405,2.4073267
406,2.5299268
407,0.58028674
408,5.3154416
409,1.262477
410,1.0471325
411,0.6116674
412,1.1639694
413,8.513291
414,1.5758324
415,1.9463606
416,1.143961
417,10.72742
418,7.532199
419,6.3581214
420,0.8541498
421,1.6678493
422,4.815612
423,0.11512411
424,4.434065
425,14.686486
426,2.616617
427,10.277583
428,10.290113
429,7.742648
430,9.674883
431,3.5399213
432,4.286071
433,13.6494465
434,1.610187
435,4.5325513
436,2.4269934
437,7.088343
438,4.233058
439,3.464033
440,9.328087
441,12.66312
442,9.846992
443,0.040679336
444,6.3799334
445,6.84962
446,-0.5
447,5.4266806
448,1.1766658
449,12.102291
450,16.264923
451,3.6880913
452,8.188475
453,1.0374162
454,3.4200141
455,5.2978287
456,33.038345
457,44.57854
458,8.453068
459,21.553116
460,28.29897
461,73.93883
462,28.80469
463,22.88043
464,85.43147
465,21.573994
466,19.871565
467,29.535141
468,44.681103
469,31.176699
470,182.21262
471,120.46872
472,68.91633
473,239.7682
474,153.81024
475,79.31093
476,271.42972
477,99.98973
478,324.90454
479,239.45554
480,40.810158
481,166.47751
482,181.13306
483,534.61597
484,161.15747
485,159.4758
486,131.0505
487,324.71307
488,1203.2627
489,81.592896
490,321.91675
491,279.20575
492,361.38538
493,723.96924
494,227.89426
495,1019.23364
496,425.6421
497,348.67413
498,372.9171
499,417.0865
500,944.0209
501,347.36035
502,826.99
503,1660.1943
504,174.9995
505,261.05872
506,510.78748
507,364.10797
508,266.10672
509,363.18518
510,352.1627
511,922.114
512,862.8402
513,181.49895
514,128.15164
515,312.7581
516,174.06186
517,173.24083
518,174.35185
519,1152.4088
520,349.06445
521,922.7073
522,1023.7866
523,359.95758
524,498.58984
525,130.065
526,847.6874
527,1177.9548
528,1068.6705
529,273.544
530,180.11844
531,271.10934
532,913.9969
533,848.53033
534,335.2083
535,266.09265
536,1220.7239
537,807.86304
538,143.36572
539,166.58202
540,458.9674
541,271.9546
542,171.63013
