Episode,PPO Reward
0,-0.28387013
1,-0.1432828
2,-0.029040098
3,-0.15710506
4,0.14102995
5,-0.5
6,-0.13362026
7,0.78372705
8,0.10589588
9,-0.008544594
10,-0.2827967
11,0.21501994
12,-0.5
13,-0.1808509
14,-0.17891502
15,1.7725384
16,0.14783967
17,0.7930535
18,0.3170089
19,-0.5
20,0.09631461
21,1.522569
22,0.114804626
23,0.31066447
24,0.32315826
25,0.27989507
26,0.47390115
27,0.50339806
28,-0.10753617
29,0.24707794
30,0.49496222
31,0.32667792
32,0.77317107
33,0.48147136
34,0.0055975914
35,-0.5
36,-0.36386362
37,0.035245657
38,-0.05441314
39,-0.5
40,-0.5
41,0.78099465
42,-0.27116743
43,-0.5
44,-0.22110742
45,0.60404813
46,-0.014665604
47,-0.025737405
48,0.8462608
49,1.2127757
50,0.60984063
51,1.7742407
52,0.39882457
53,1.1605492
54,-0.386448
55,0.101082444
56,0.14089012
57,-0.5
58,-0.5
59,0.01591456
60,-0.17679513
61,-0.16627207
62,0.23969257
63,-0.1599167
64,1.7725763
65,-0.20442548
66,-0.009464353
67,0.36889237
68,0.46769315
69,-0.228769
70,-0.5
71,-0.025636315
72,-0.06977832
73,0.7942443
74,0.3743608
75,-0.18308401
76,-0.24055856
77,0.1264118
78,0.12593466
79,0.15206915
80,0.0854125
81,0.43188787
82,-0.15919465
83,0.6451911
84,-0.2242983
85,0.15233344
86,-0.19934884
87,-0.18598405
88,-0.08221635
89,0.08431804
90,0.66446745
91,0.33292425
92,0.48518234
93,0.033546925
94,1.527498
95,-0.1657669
96,0.11271715
97,0.5333246
98,1.7944863
99,-0.5
100,0.16279685
101,0.17493224
102,0.5791161
103,-0.20741731
104,-0.5
105,-0.5
106,-0.23055425
107,-0.26020128
108,0.16696244
109,0.0002696514
110,-0.4035205
111,-0.17987004
112,-0.039033026
113,-0.5
114,0.08313489
115,-0.5
116,0.53941846
117,-0.5
118,-0.23913822
119,0.5337783
120,0.30856198
121,0.3193019
122,1.039133
123,-0.5333802
124,0.17410797
125,1.2423278
126,-0.5
127,-0.041924953
